Kode Properti,Kecamatan, Price , Price_Sudah ,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Tamu,Jumlah Lantai,Terjangkau Internet,Kondisi Properti
P57,rungkut,675000000 ,675 ,3,2,50,70,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P58,rungkut,675000000 ,675 ,3,2,50,70,SHM - Sertifikat Hak Milik,2200,1,1,1,4
P59,pakal,675000000 ,675 ,2,1,74,60,HGB - Hak Guna Bangunan,1300,1,2,0,2
P60,rungkut,675000000 ,675 ,3,1,88,60,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P61,rungkut,675000000 ,675 ,3,1,88,60,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P62,rungkut,675000000 ,675 ,3,1,88,60,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P63,lakarsantri,675000000 ,675 ,3,1,90,72,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P64,rungkut,675000000 ,675 ,3,1,110,60,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P65,rungkut,680000000 ,680 ,3,2,54,75,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P66,sukolilo,680000000 ,680 ,2,1,60,56,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P67,benowo,680000000 ,680 ,2,1,72,126,"Lainnya (PPJB,Girik,Adat,dll)",2200,1,1,1,2
P68,benowo,680000000 ,680 ,2,1,72,126,"Lainnya (PPJB,Girik,Adat,dll)",2200,1,1,1,2
P69,rungkut,685000000 ,685 ,2,1,90,50,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P70,rungkut,685000000 ,685 ,2,1,90,50,SHM - Sertifikat Hak Milik,2200,1,1,1,4
P71,rungkut,685000000 ,685 ,2,1,90,50,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P72,rungkut,685000000 ,685 ,2,1,90,50,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P73,kenjeran,690000000 ,690 ,3,2,57,114,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P74,pakal,690000000 ,690 ,2,2,79,60,HGB - Hak Guna Bangunan,1300,1,2,0,2
P75,rungkut,697000000 ,697 ,2,1,52,53,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P76,rungkut,697000000 ,697 ,1,1,52,53,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P77,rungkut,697000000 ,697 ,2,1,52,53,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P78,rungkut,697000000 ,697 ,2,1,52,53,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P79,sambikerep,697000000 ,697 ,1,1,288,307,SHM - Sertifikat Hak Milik,3300,0,1,1,1
P80,benowo,698000000 ,698 ,2,2,65,66,HGB - Hak Guna Bangunan,2200,0,2,0,4
P81,sukolilo,700000000 ,700 ,2,2,45,70,SHM - Sertifikat Hak Milik,1300,0,2,0,4
P82,tambaksari,700000000 ,700 ,2,2,45,90,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P83,rungkut,700000000 ,700 ,3,2,48,63,SHM - Sertifikat Hak Milik,1300,0,2,0,4
P84,rungkut,700000000 ,700 ,3,2,48,63,SHM - Sertifikat Hak Milik,1300,0,2,0,4
P85,rungkut,700000000 ,700 ,3,2,50,66,SHM - Sertifikat Hak Milik,1300,1,2,1,2
P86,sukolilo,700000000 ,700 ,3,2,50,65,SHM - Sertifikat Hak Milik,1300,0,2,0,2
P87,rungkut,700000000 ,700 ,3,2,54,60,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P88,benowo,700000000 ,700 ,3,2,72,72,SHM - Sertifikat Hak Milik,1300,1,2,1,2
P89,rungkut,700000000 ,700 ,3,1,72,64,HGB - Hak Guna Bangunan,2200,0,1,0,2
P90,tambaksari,700000000 ,700 ,2,1,78,78,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P91,krembangan,700000000 ,700 ,1,1,86,111,SHM - Sertifikat Hak Milik,2200,0,1,1,1
P92,rungkut,700000000 ,700 ,2,1,90,90,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P93,sambikerep,700000000 ,700 ,2,2,90,92,SHM - Sertifikat Hak Milik,900,0,1,1,4
P94,sukomanunggal,700000000 ,700 ,2,1,90,75,SHM - Sertifikat Hak Milik,1300,1,1,1,1
P95,rungkut,700000000 ,700 ,2,1,95,65,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P96,rungkut,700000000 ,700 ,2,1,95,65,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P97,pakal,700000000 ,700 ,2,1,97,105,SHM - Sertifikat Hak Milik,2200,0,1,1,2
P98,kenjeran,700000000 ,700 ,2,1,100,90,SHM - Sertifikat Hak Milik,2200,1,1,1,1
P99,rungkut,700000000 ,700 ,2,1,100,60,"Lainnya (PPJB,Girik,Adat,dll)",1300,0,1,0,4
P100,rungkut,700000000 ,700 ,3,1,100,55,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P101,rungkut,700000000 ,700 ,3,1,100,55,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P102,rungkut,700000000 ,700 ,3,1,100,55,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P103,rungkut,700000000 ,700 ,3,1,100,60,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P104,tambaksari,700000000 ,700 ,2,1,100,100,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P105,gubeng,700000000 ,700 ,3,1,104,110,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P106,lakarsantri,700000000 ,700 ,2,1,112,60,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P107,pakal,700000000 ,700 ,3,2,120,80,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P108,sambikerep,700000000 ,700 ,3,2,135,260,HGB - Hak Guna Bangunan,1300,1,1,0,2
P109,gubeng,700000000 ,700 ,6,3,160,220,"Lainnya (PPJB,Girik,Adat,dll)",2200,1,2,0,2
P110,wiyung,700000000 ,700 ,4,4,300,420,SHM - Sertifikat Hak Milik,6600,1,2,0,2
P111,rungkut,715000000 ,715 ,2,2,50,60,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P112,rungkut,715000000 ,715 ,2,2,50,60,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P113,rungkut,715000000 ,715 ,2,2,50,60,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P114,rungkut,720000000 ,720 ,3,2,57,60,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P115,rungkut,720000000 ,720 ,3,2,57,60,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P116,rungkut,720000000 ,720 ,3,2,57,60,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P117,rungkut,720000000 ,720 ,3,2,57,60,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P118,benowo,720000000 ,720 ,2,2,62,56,HGB - Hak Guna Bangunan,2200,0,2,1,4
P119,rungkut,725000000 ,725 ,2,2,45,60,SHM - Sertifikat Hak Milik,2200,1,1,1,4
P120,rungkut,725000000 ,725 ,2,2,45,60,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P121,rungkut,725000000 ,725 ,2,2,45,60,SHM - Sertifikat Hak Milik,2200,1,1,1,4
P122,rungkut,725000000 ,725 ,2,2,52,90,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P123,rungkut,725000000 ,725 ,2,2,52,90,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P124,rungkut,725000000 ,725 ,2,1,52,90,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P125,kenjeran,725000000 ,725 ,3,2,59,57,SHM - Sertifikat Hak Milik,1300,1,1,1,3
P126,benowo,725000000 ,725 ,4,2,72,140,SHM - Sertifikat Hak Milik,1300,1,2,1,2
P127,rungkut,725000000 ,725 ,2,1,84,50,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P128,benowo,725000000 ,725 ,3,2,114,114,SHM - Sertifikat Hak Milik,900,1,1,1,2
P129,benowo,730000000 ,730 ,2,2,91,91,SHM - Sertifikat Hak Milik,1300,0,1,0,4
P130,benowo,730000000 ,730 ,3,2,114,114,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P131,rungkut,735000000 ,735 ,3,1,101,65,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P132,rungkut,740000000 ,740 ,3,2,52,88,SHM - Sertifikat Hak Milik,3300,1,2,1,4
P133,pakal,745000000 ,745 ,2,1,78,55,SHM - Sertifikat Hak Milik,2200,1,1,1,3
P134,rungkut,745000000 ,745 ,5,2,96,200,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P135,tambaksari,750000000 ,750 ,3,2,50,90,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P136,kenjeran,750000000 ,750 ,2,1,57,50,SHM - Sertifikat Hak Milik,2200,0,1,0,1
P137,tambaksari,750000000 ,750 ,3,2,58,80,SHM - Sertifikat Hak Milik,2200,1,2,1,1
P138,tambaksari,750000000 ,750 ,3,2,58,80,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P139,tambaksari,750000000 ,750 ,3,2,58,80,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P140,kenjeran,750000000 ,750 ,3,2,60,120,SHM - Sertifikat Hak Milik,2200,0,2,1,2
P141,pakal,750000000 ,750 ,3,1,72,63,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P142,rungkut,750000000 ,750 ,2,1,80,55,SHM - Sertifikat Hak Milik,1300,1,1,1,4
P143,rungkut,750000000 ,750 ,3,1,84,74,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P144,rungkut,750000000 ,750 ,2,1,90,66,SHM - Sertifikat Hak Milik,2200,1,1,1,2
