Kode Properti,Kecamatan, Price , Price_Sudah ,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Tamu,Jumlah Lantai,Terjangkau Internet,Kondisi Properti
P1473,rungkut,1550000000 ,1550 ,3,3,101,150,SHM - Sertifikat Hak Milik,3500,0,2,1,4
P1474,kenjeran,1550000000 ,1550 ,3,2,102,100,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1475,kenjeran,1550000000 ,1550 ,7,3,102,226,SHM - Sertifikat Hak Milik,2200,1,3,1,2
P1476,wiyung,1550000000 ,1550 ,4,4,120,210,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1477,kenjeran,1550000000 ,1550 ,3,2,123,75,SHM - Sertifikat Hak Milik,2200,1,1,1,4
P1478,rungkut,1550000000 ,1550 ,3,1,135,100,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P1479,tandes,1550000000 ,1550 ,4,3,153,125,SHM - Sertifikat Hak Milik,3500,0,1,0,2
P1480,wonocolo,1550000000 ,1550 ,6,3,153,153,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1481,lakarsantri,1550000000 ,1550 ,4,4,159,100,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1482,tambaksari,1550000000 ,1550 ,3,2,160,160,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1483,wiyung,1550000000 ,1550 ,4,3,175,235,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1484,tambaksari,1550000000 ,1550 ,3,2,182,138,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P1485,mulyorejo,1550000000 ,1550 ,3,2,200,200,SHM - Sertifikat Hak Milik,3500,1,1,1,2
P1486,tambaksari,1550000000 ,1550 ,3,1,202,180,HGB - Hak Guna Bangunan,2200,1,2,1,2
P1487,mulyorejo,1560000000 ,1560 ,3,3,72,105,HGB - Hak Guna Bangunan,2200,0,2,1,2
P1488,rungkut,1560000000 ,1560 ,3,3,100,130,SHM - Sertifikat Hak Milik,2200,0,2,1,4
P1489,rungkut,1560000000 ,1560 ,3,2,175,120,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1490,tenggilis mejoyo,1570000000 ,1570 ,3,2,60,74,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1491,tenggilis mejoyo,1570000000 ,1570 ,3,2,60,74,SHM - Sertifikat Hak Milik,2200,0,2,1,4
P1492,tenggilis mejoyo,1570000000 ,1570 ,3,2,70,117,SHM - Sertifikat Hak Milik,3500,0,2,0,2
P1493,tandes,1570000000 ,1570 ,2,2,72,65,HGB - Hak Guna Bangunan,2200,0,2,0,2
P1494,tenggilis mejoyo,1570000000 ,1570 ,4,4,85,110,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1495,rungkut,1570000000 ,1570 ,3,2,101,150,SHM - Sertifikat Hak Milik,3500,1,1,1,4
P1496,rungkut,1570000000 ,1570 ,4,2,200,200,"Lainnya (PPJB,Girik,Adat,dll)",1300,0,1,1,1
P1497,tenggilis mejoyo,1580000000 ,1580 ,6,6,60,70,HGB - Hak Guna Bangunan,1300,0,2,0,4
P1498,sawahan,1580000000 ,1580 ,2,2,150,150,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1499,sambikerep,1590000000 ,1590 ,3,2,60,64,"Lainnya (PPJB,Girik,Adat,dll)",2200,1,2,1,4
P1500,sukomanunggal,1590000000 ,1590 ,3,2,72,75,HGB - Hak Guna Bangunan,2200,1,2,1,4
P1501,sukomanunggal,1590000000 ,1590 ,3,2,72,75,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1502,sukomanunggal,1590000000 ,1590 ,3,3,72,75,HGB - Hak Guna Bangunan,2200,1,2,1,4
P1503,sukomanunggal,1590000000 ,1590 ,3,2,72,75,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1504,sukomanunggal,1590000000 ,1590 ,3,2,72,105,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1505,rungkut,1590000000 ,1590 ,4,3,100,110,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1506,rungkut,1590000000 ,1590 ,4,3,100,110,SHM - Sertifikat Hak Milik,2200,0,2,1,2
P1507,rungkut,1590000000 ,1590 ,4,3,100,110,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1508,rungkut,1590000000 ,1590 ,4,3,100,110,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1509,rungkut,1590000000 ,1590 ,4,3,100,110,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1510,rungkut,1590000000 ,1590 ,4,3,100,110,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1511,rungkut,1590000000 ,1590 ,4,3,100,110,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1512,rungkut,1590000000 ,1590 ,3,3,100,115,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1513,rungkut,1590000000 ,1590 ,3,3,100,115,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1514,rungkut,1590000000 ,1590 ,3,3,100,115,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1515,wiyung,1590000000 ,1590 ,3,1,108,108,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1516,rungkut,1590000000 ,1590 ,3,2,200,160,SHM - Sertifikat Hak Milik,3500,0,1,0,2
P1517,lakarsantri,1500000000 ,1500 ,3,2,55,70,"Lainnya (PPJB,Girik,Adat,dll)",2200,0,2,0,2
P1518,wiyung,1500000000 ,1500 ,3,2,55,77,HGB - Hak Guna Bangunan,2200,1,2,1,4
P1519,mulyorejo,1500000000 ,1500 ,3,2,60,100,SHM - Sertifikat Hak Milik,2200,0,2,1,2
P1520,tandes,1500000000 ,1500 ,3,2,60,80,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1521,wiyung,1500000000 ,1500 ,3,2,60,76,SHM - Sertifikat Hak Milik,4400,0,2,0,4
P1522,tambaksari,1500000000 ,1500 ,2,2,68,120,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1523,benowo,1500000000 ,1500 ,2,2,72,70,"Lainnya (PPJB,Girik,Adat,dll)",2200,0,2,1,4
P1524,tandes,1500000000 ,1500 ,2,2,72,70,"Lainnya (PPJB,Girik,Adat,dll)",1300,0,2,0,4
P1525,wiyung,1500000000 ,1500 ,3,3,73,102,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1526,rungkut,1500000000 ,1500 ,3,2,77,130,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1527,rungkut,1500000000 ,1500 ,3,2,77,130,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1528,rungkut,1500000000 ,1500 ,3,2,77,130,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1529,rungkut,1500000000 ,1500 ,3,2,77,130,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1530,tambaksari,1500000000 ,1500 ,3,2,77,86,SHM - Sertifikat Hak Milik,2200,0,2,1,4
P1531,kenjeran,1500000000 ,1500 ,3,2,78,70,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P1532,rungkut,1500000000 ,1500 ,3,2,80,100,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1533,rungkut,1500000000 ,1500 ,3,2,80,100,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1534,rungkut,1500000000 ,1500 ,3,2,81,110,SHM - Sertifikat Hak Milik,2200,0,1,0,4
P1535,rungkut,1500000000 ,1500 ,3,2,81,100,SHM - Sertifikat Hak Milik,2200,0,2,1,4
P1536,rungkut,1500000000 ,1500 ,3,2,81,100,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1537,rungkut,1500000000 ,1500 ,3,2,81,100,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1538,rungkut,1500000000 ,1500 ,3,2,81,100,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1539,rungkut,1500000000 ,1500 ,3,2,81,100,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1540,rungkut,1500000000 ,1500 ,3,2,81,110,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1541,rungkut,1500000000 ,1500 ,3,2,81,100,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1542,rungkut,1500000000 ,1500 ,3,2,81,100,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1543,rungkut,1500000000 ,1500 ,3,2,81,100,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1544,rungkut,1500000000 ,1500 ,3,2,81,100,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1545,rungkut,1500000000 ,1500 ,3,2,81,110,SHM - Sertifikat Hak Milik,2200,0,2,1,4
P1546,rungkut,1500000000 ,1500 ,3,2,81,100,SHM - Sertifikat Hak Milik,2200,1,2,0,4
P1547,rungkut,1500000000 ,1500 ,3,2,81,100,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1548,wiyung,1500000000 ,1500 ,3,3,81,125,"Lainnya (PPJB,Girik,Adat,dll)",3500,0,2,0,4
P1549,tambaksari,1500000000 ,1500 ,6,1,83,140,SHM - Sertifikat Hak Milik,2200,0,2,0,1
P1550,wonocolo,1500000000 ,1500 ,4,3,84,110,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P1551,wonocolo,1500000000 ,1500 ,2,2,84,110,SHM - Sertifikat Hak Milik,1300,0,2,0,2
P1552,sawahan,1500000000 ,1500 ,4,2,86,86,SHM - Sertifikat Hak Milik,2200,1,2,1,1
P1553,tenggilis mejoyo,1500000000 ,1500 ,3,2,89,137,SHM - Sertifikat Hak Milik,5500,1,2,1,4
P1554,kenjeran,1500000000 ,1500 ,3,2,90,150,SHM - Sertifikat Hak Milik,3500,1,1,1,2
P1555,wiyung,1500000000 ,1500 ,3,2,90,98,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P1556,wonokromo,1500000000 ,1500 ,3,3,90,110,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1557,gubeng,1500000000 ,1500 ,5,3,91,140,"Lainnya (PPJB,Girik,Adat,dll)",3500,1,2,1,2
P1558,rungkut,1500000000 ,1500 ,3,1,91,100,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1559,kenjeran,1500000000 ,1500 ,3,2,96,56,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P1560,rungkut,1500000000 ,1500 ,4,3,96,180,SHM - Sertifikat Hak Milik,3500,1,2,1,2
P1561,rungkut,1500000000 ,1500 ,4,3,96,180,SHM - Sertifikat Hak Milik,3500,0,2,0,2
P1562,simokerto,1500000000 ,1500 ,3,2,96,100,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1563,simokerto,1500000000 ,1500 ,3,2,96,96,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1564,tegalsari,1500000000 ,1500 ,5,2,96,84,SHM - Sertifikat Hak Milik,2200,1,2,1,1
P1565,jambangan,1500000000 ,1500 ,2,1,98,70,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1566,rungkut,1500000000 ,1500 ,7,4,100,200,SHM - Sertifikat Hak Milik,3300,0,2,0,2
P1567,sukomanunggal,1500000000 ,1500 ,3,2,100,80,HGB - Hak Guna Bangunan,2200,1,2,0,4
P1568,tambaksari,1500000000 ,1500 ,4,3,100,170,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1569,wiyung,1500000000 ,1500 ,3,1,100,90,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P1570,kenjeran,1500000000 ,1500 ,3,1,102,90,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1571,wiyung,1500000000 ,1500 ,3,1,102,85,SHM - Sertifikat Hak Milik,1300,1,2,0,2
P1572,wonocolo,1500000000 ,1500 ,4,5,102,105,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1573,jambangan,1500000000 ,1500 ,3,1,104,104,HGB - Hak Guna Bangunan,1300,0,1,0,2
P1574,pakal,1500000000 ,1500 ,3,2,105,89,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1575,rungkut,1500000000 ,1500 ,3,2,105,82,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1576,sambikerep,1500000000 ,1500 ,2,1,105,105,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1577,sukolilo,1500000000 ,1500 ,4,3,105,144,SHM - Sertifikat Hak Milik,3300,1,1,1,2
P1578,wiyung,1500000000 ,1500 ,2,2,106,82,HGB - Hak Guna Bangunan,2200,0,2,0,4
P1579,tambaksari,1500000000 ,1500 ,3,3,107,150,SHM - Sertifikat Hak Milik,2200,0,2,0,2
P1580,tandes,1500000000 ,1500 ,2,1,108,68,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1581,jambangan,1500000000 ,1500 ,6,3,110,247,SHM - Sertifikat Hak Milik,1300,1,2,1,2
P1582,rungkut,1500000000 ,1500 ,2,2,110,150,SHM - Sertifikat Hak Milik,2200,0,2,1,2
P1583,tambaksari,1500000000 ,1500 ,3,3,110,170,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1584,rungkut,1500000000 ,1500 ,3,2,112,120,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P1585,rungkut,1500000000 ,1500 ,3,2,112,200,SHM - Sertifikat Hak Milik,3500,0,2,0,2
P1586,rungkut,1500000000 ,1500 ,3,2,112,120,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P1587,rungkut,1500000000 ,1500 ,4,3,114,129,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1588,rungkut,1500000000 ,1500 ,4,3,114,126,SHM - Sertifikat Hak Milik,2200,0,2,0,2
P1589,rungkut,1500000000 ,1500 ,4,3,114,129,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1590,sawahan,1500000000 ,1500 ,2,1,114,114,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P1591,semampir,1500000000 ,1500 ,3,3,117,130,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1592,gubeng,1500000000 ,1500 ,3,2,119,200,"Lainnya (PPJB,Girik,Adat,dll)",2200,1,2,1,4
P1593,gubeng,1500000000 ,1500 ,3,2,119,200,"Lainnya (PPJB,Girik,Adat,dll)",2200,1,2,1,4
P1594,tenggilis mejoyo,1500000000 ,1500 ,3,2,119,110,HGB - Hak Guna Bangunan,3300,1,1,1,2
P1595,dukuh pakis,1500000000 ,1500 ,3,3,120,225,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1596,rungkut,1500000000 ,1500 ,3,2,120,110,SHM - Sertifikat Hak Milik,1300,0,2,1,4
P1597,rungkut,1500000000 ,1500 ,6,2,120,120,SHM - Sertifikat Hak Milik,1300,0,2,0,2
P1598,rungkut,1500000000 ,1500 ,6,2,120,120,SHM - Sertifikat Hak Milik,1300,0,2,0,2
P1599,rungkut,1500000000 ,1500 ,6,2,120,120,SHM - Sertifikat Hak Milik,1300,0,2,0,2
P1600,rungkut,1500000000 ,1500 ,6,2,120,120,SHM - Sertifikat Hak Milik,1300,0,2,1,2
P1601,rungkut,1500000000 ,1500 ,2,2,120,77,HGB - Hak Guna Bangunan,2200,1,1,1,2
P1602,rungkut,1500000000 ,1500 ,2,2,120,77,HGB - Hak Guna Bangunan,2200,1,1,1,2
P1603,tambaksari,1500000000 ,1500 ,3,3,120,134,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1604,tambaksari,1500000000 ,1500 ,3,3,120,134,SHM - Sertifikat Hak Milik,2200,1,1,0,2
P1605,wiyung,1500000000 ,1500 ,2,1,120,120,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1606,wiyung,1500000000 ,1500 ,2,1,120,100,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1607,wiyung,1500000000 ,1500 ,2,1,120,100,SHM - Sertifikat Hak Milik,2200,0,1,0,3
P1608,wiyung,1500000000 ,1500 ,2,1,120,95,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1609,wiyung,1500000000 ,1500 ,2,1,120,95,SHM - Sertifikat Hak Milik,2200,1,1,0,2
P1610,wiyung,1500000000 ,1500 ,2,2,120,100,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1611,wiyung,1500000000 ,1500 ,3,2,120,100,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P1612,wonocolo,1500000000 ,1500 ,4,2,120,120,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1613,wonocolo,1500000000 ,1500 ,2,2,120,135,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P1614,rungkut,1500000000 ,1500 ,2,1,122,122,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1615,rungkut,1500000000 ,1500 ,2,1,122,122,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1616,rungkut,1500000000 ,1500 ,2,1,122,122,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1617,rungkut,1500000000 ,1500 ,2,1,122,122,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1618,rungkut,1500000000 ,1500 ,2,1,122,100,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1619,rungkut,1500000000 ,1500 ,2,2,122,122,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1620,rungkut,1500000000 ,1500 ,2,1,128,70,HGB - Hak Guna Bangunan,1300,0,1,0,2
P1621,rungkut,1500000000 ,1500 ,3,2,128,100,HGB - Hak Guna Bangunan,2200,1,2,1,2
P1622,rungkut,1500000000 ,1500 ,3,2,128,100,HGB - Hak Guna Bangunan,2200,1,1,1,2
P1623,tandes,1500000000 ,1500 ,6,2,129,210,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P1624,wiyung,1500000000 ,1500 ,2,2,134,134,HGB - Hak Guna Bangunan,2200,0,1,0,2
P1625,wiyung,1500000000 ,1500 ,2,2,135,135,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P1626,wiyung,1500000000 ,1500 ,2,2,135,120,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1627,wiyung,1500000000 ,1500 ,4,3,136,180,SHM - Sertifikat Hak Milik,4400,1,2,1,2
P1628,genteng,1500000000 ,1500 ,5,2,137,250,SHM - Sertifikat Hak Milik,2200,0,2,0,2
P1629,dukuh pakis,1500000000 ,1500 ,2,1,144,100,SHM - Sertifikat Hak Milik,2200,1,1,0,2
P1630,gubeng,1500000000 ,1500 ,4,2,144,150,"Lainnya (PPJB,Girik,Adat,dll)",1300,0,1,0,2
P1631,gubeng,1500000000 ,1500 ,3,2,144,150,"Lainnya (PPJB,Girik,Adat,dll)",1300,1,1,1,2
P1632,tambaksari,1500000000 ,1500 ,5,4,147,180,"Lainnya (PPJB,Girik,Adat,dll)",2200,0,2,1,1
P1633,rungkut,1500000000 ,1500 ,3,2,148,104,HGB - Hak Guna Bangunan,2200,0,1,0,2
P1634,benowo,1500000000 ,1500 ,5,2,150,135,SHM - Sertifikat Hak Milik,2200,1,1,0,2
P1635,gubeng,1500000000 ,1500 ,4,2,150,200,"Lainnya (PPJB,Girik,Adat,dll)",2200,1,1,1,2
P1636,lakarsantri,1500000000 ,1500 ,2,2,150,100,SHM - Sertifikat Hak Milik,2200,1,1,0,2
P1637,rungkut,1500000000 ,1500 ,2,1,153,153,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1638,rungkut,1500000000 ,1500 ,2,1,153,153,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1639,rungkut,1500000000 ,1500 ,2,1,153,153,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1640,rungkut,1500000000 ,1500 ,2,1,153,153,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1641,rungkut,1500000000 ,1500 ,2,1,153,153,SHM - Sertifikat Hak Milik,2200,1,1,0,2
P1642,rungkut,1500000000 ,1500 ,2,1,153,75,SHM - Sertifikat Hak Milik,2200,1,1,1,3
P1643,rungkut,1500000000 ,1500 ,2,1,153,120,SHM - Sertifikat Hak Milik,2200,0,1,1,2
P1644,rungkut,1500000000 ,1500 ,2,1,153,120,SHM - Sertifikat Hak Milik,2200,0,1,1,2
P1645,wiyung,1500000000 ,1500 ,3,2,153,170,SHM - Sertifikat Hak Milik,2200,1,2,1,1
P1646,sawahan,1500000000 ,1500 ,7,2,155,177,HGB - Hak Guna Bangunan,4400,0,1,0,2
P1647,gubeng,1500000000 ,1500 ,4,2,158,200,"Lainnya (PPJB,Girik,Adat,dll)",2200,0,1,0,2
P1648,gubeng,1500000000 ,1500 ,4,2,158,200,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1649,rungkut,1500000000 ,1500 ,3,2,160,160,SHM - Sertifikat Hak Milik,3500,0,1,0,2
P1650,rungkut,1500000000 ,1500 ,3,2,160,160,SHM - Sertifikat Hak Milik,3500,0,1,0,2
P1651,rungkut,1500000000 ,1500 ,3,1,162,150,SHM - Sertifikat Hak Milik,4400,0,2,0,1
P1652,rungkut,1500000000 ,1500 ,5,3,170,220,SHM - Sertifikat Hak Milik,2200,0,2,1,2
P1653,tenggilis mejoyo,1500000000 ,1500 ,3,2,176,176,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P1654,dukuh pakis,1500000000 ,1500 ,4,2,180,120,SHM - Sertifikat Hak Milik,1300,1,2,1,2
P1655,gubeng,1500000000 ,1500 ,6,4,180,182,"Lainnya (PPJB,Girik,Adat,dll)",2200,0,1,0,2
P1656,sambikerep,1500000000 ,1500 ,3,2,180,150,SHM - Sertifikat Hak Milik,2200,1,1,1,2
P1657,tambaksari,1500000000 ,1500 ,3,2,180,160,SHM - Sertifikat Hak Milik,4400,0,1,0,3
P1658,rungkut,1500000000 ,1500 ,3,1,195,201,HGB - Hak Guna Bangunan,2200,0,1,0,2
P1659,sukolilo,1500000000 ,1500 ,3,2,195,201,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P1660,gubeng,1500000000 ,1500 ,4,1,200,193,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1661,rungkut,1500000000 ,1500 ,5,4,200,138,SHM - Sertifikat Hak Milik,2200,0,2,0,2
P1662,rungkut,1500000000 ,1500 ,4,2,200,190,SHM - Sertifikat Hak Milik,4400,1,1,1,1
P1663,rungkut,1500000000 ,1500 ,4,4,200,350,SHM - Sertifikat Hak Milik,2200,1,2,1,1
P1664,sukolilo,1500000000 ,1500 ,2,2,200,70,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P1665,sukomanunggal,1500000000 ,1500 ,4,1,200,200,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P1666,tambaksari,1500000000 ,1500 ,3,2,200,200,SHM - Sertifikat Hak Milik,3500,0,1,0,2
P1667,wiyung,1500000000 ,1500 ,4,1,200,250,HGB - Hak Guna Bangunan,4400,0,1,0,4
P1668,rungkut,1500000000 ,1500 ,5,2,207,180,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P1669,rungkut,1500000000 ,1500 ,5,2,207,180,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P1670,rungkut,1500000000 ,1500 ,5,2,207,180,SHM - Sertifikat Hak Milik,1300,1,1,1,2
P1671,tambaksari,1500000000 ,1500 ,4,1,212,212,SHM - Sertifikat Hak Milik,4400,0,1,0,1
P1672,wonokromo,1500000000 ,1500 ,6,4,216,296,"Lainnya (PPJB,Girik,Adat,dll)",1300,0,1,0,2
P1673,benowo,1500000000 ,1500 ,2,1,231,90,SHM - Sertifikat Hak Milik,1300,0,1,0,4
P1674,wiyung,1500000000 ,1500 ,4,4,264,320,HGB - Hak Guna Bangunan,4400,1,2,1,2
P1675,wiyung,1500000000 ,1500 ,4,3,300,300,SHM - Sertifikat Hak Milik,3500,1,2,1,2
P1676,wiyung,1500000000 ,1500 ,4,4,328,450,SHM - Sertifikat Hak Milik,6600,1,2,1,2
P1677,wiyung,1500000000 ,1500 ,4,4,328,450,SHM - Sertifikat Hak Milik,6600,1,2,1,2
P1678,wiyung,1500000000 ,1500 ,7,5,345,600,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1679,wiyung,1500000000 ,1500 ,5,5,756,564,"Lainnya (PPJB,Girik,Adat,dll)",2200,1,2,1,2
P1680,gubeng,1610000000 ,1610 ,3,2,72,65,HGB - Hak Guna Bangunan,1300,1,2,1,4
P1681,rungkut,1620000000 ,1620 ,4,4,91,140,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1682,rungkut,1620000000 ,1620 ,3,3,91,140,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1683,kenjeran,1620000000 ,1620 ,3,2,100,150,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1684,rungkut,1620000000 ,1620 ,4,4,100,155,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1685,rungkut,1620000000 ,1620 ,3,3,100,155,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1686,rungkut,1620000000 ,1620 ,3,3,100,155,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1687,rungkut,1620000000 ,1620 ,3,3,100,155,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1688,rungkut,1620000000 ,1620 ,3,3,100,155,SHM - Sertifikat Hak Milik,2200,1,2,1,2
P1689,rungkut,1620000000 ,1620 ,4,4,100,155,SHM - Sertifikat Hak Milik,2200,0,1,0,2
P1690,rungkut,1620000000 ,1620 ,3,3,100,155,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1691,rungkut,1620000000 ,1620 ,3,3,100,155,SHM - Sertifikat Hak Milik,2200,0,2,1,4
P1692,rungkut,1620000000 ,1620 ,3,3,100,155,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1693,rungkut,1620000000 ,1620 ,4,4,100,155,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1694,rungkut,1620000000 ,1620 ,3,2,105,104,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1695,rungkut,1620000000 ,1620 ,3,2,105,104,SHM - Sertifikat Hak Milik,2200,0,2,0,2
P1696,tenggilis mejoyo,1630000000 ,1630 ,3,2,81,69,SHM - Sertifikat Hak Milik,1300,0,2,0,4
P1697,tenggilis mejoyo,1630000000 ,1630 ,3,2,81,69,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1698,tenggilis mejoyo,1630000000 ,1630 ,3,2,81,69,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P1699,tenggilis mejoyo,1630000000 ,1630 ,3,2,81,69,SHM - Sertifikat Hak Milik,2200,1,2,0,4
P1700,tenggilis mejoyo,1630000000 ,1630 ,3,2,81,122,SHM - Sertifikat Hak Milik,1300,1,2,1,4
P1701,tenggilis mejoyo,1630000000 ,1630 ,3,2,81,69,SHM - Sertifikat Hak Milik,1300,0,1,0,2
P1702,tenggilis mejoyo,1630000000 ,1630 ,3,2,81,69,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1703,wiyung,1630000000 ,1630 ,3,1,240,100,SHM - Sertifikat Hak Milik,2200,0,1,1,1
P1704,wiyung,1640000000 ,1640 ,2,1,84,70,SHM - Sertifikat Hak Milik,2200,0,1,0,4
P1705,sukolilo,1650000000 ,1650 ,3,3,66,110,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1706,wiyung,1650000000 ,1650 ,3,3,66,100,HGB - Hak Guna Bangunan,4400,0,2,0,2
P1707,wiyung,1650000000 ,1650 ,3,3,66,198,HGB - Hak Guna Bangunan,4400,0,2,1,2
P1708,mulyorejo,1650000000 ,1650 ,3,4,75,115,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1709,mulyorejo,1650000000 ,1650 ,3,4,75,115,SHM - Sertifikat Hak Milik,2200,0,2,0,4
P1710,mulyorejo,1650000000 ,1650 ,3,4,75,115,SHM - Sertifikat Hak Milik,2200,1,2,1,4
P1711,mulyorejo,1650000000 ,1650 ,3,4,75,115,SHM - Sertifikat Hak Milik,2200,1,2,1,4
